"","date","hits","keyword","geo","gprop","category"
"1",2018-01-07 01:00:00,2,"social phobia","GB","web",0
"2",2018-01-14 01:00:00,7,"social phobia","GB","web",0
"3",2018-01-21 01:00:00,4,"social phobia","GB","web",0
"4",2018-01-28 01:00:00,8,"social phobia","GB","web",0
"5",2018-02-04 01:00:00,13,"social phobia","GB","web",0
"6",2018-02-11 01:00:00,8,"social phobia","GB","web",0
"7",2018-02-18 01:00:00,6,"social phobia","GB","web",0
"8",2018-02-25 01:00:00,4,"social phobia","GB","web",0
"9",2018-03-04 01:00:00,9,"social phobia","GB","web",0
"10",2018-03-11 01:00:00,15,"social phobia","GB","web",0
"11",2018-03-18 01:00:00,6,"social phobia","GB","web",0
"12",2018-03-25 01:00:00,4,"social phobia","GB","web",0
"13",2018-04-01 00:00:00,6,"social phobia","GB","web",0
"14",2018-04-08 00:00:00,6,"social phobia","GB","web",0
"15",2018-04-15 00:00:00,12,"social phobia","GB","web",0
"16",2018-04-22 00:00:00,7,"social phobia","GB","web",0
"17",2018-04-29 00:00:00,10,"social phobia","GB","web",0
"18",2018-05-06 00:00:00,8,"social phobia","GB","web",0
"19",2018-05-13 00:00:00,6,"social phobia","GB","web",0
"20",2018-05-20 00:00:00,12,"social phobia","GB","web",0
"21",2018-05-27 00:00:00,4,"social phobia","GB","web",0
"22",2018-06-03 00:00:00,0,"social phobia","GB","web",0
"23",2018-06-10 00:00:00,9,"social phobia","GB","web",0
"24",2018-06-17 00:00:00,6,"social phobia","GB","web",0
"25",2018-06-24 00:00:00,8,"social phobia","GB","web",0
"26",2018-07-01 00:00:00,10,"social phobia","GB","web",0
"27",2018-07-08 00:00:00,6,"social phobia","GB","web",0
"28",2018-07-15 00:00:00,16,"social phobia","GB","web",0
"29",2018-07-22 00:00:00,6,"social phobia","GB","web",0
"30",2018-07-29 00:00:00,2,"social phobia","GB","web",0
"31",2018-08-05 00:00:00,4,"social phobia","GB","web",0
"32",2018-08-12 00:00:00,8,"social phobia","GB","web",0
"33",2018-08-19 00:00:00,12,"social phobia","GB","web",0
"34",2018-08-26 00:00:00,8,"social phobia","GB","web",0
"35",2018-09-02 00:00:00,12,"social phobia","GB","web",0
"36",2018-09-09 00:00:00,12,"social phobia","GB","web",0
"37",2018-09-16 00:00:00,6,"social phobia","GB","web",0
"38",2018-09-23 00:00:00,4,"social phobia","GB","web",0
"39",2018-09-30 00:00:00,8,"social phobia","GB","web",0
"40",2018-10-07 00:00:00,8,"social phobia","GB","web",0
"41",2018-10-14 00:00:00,16,"social phobia","GB","web",0
"42",2018-10-21 00:00:00,12,"social phobia","GB","web",0
"43",2018-10-28 00:00:00,2,"social phobia","GB","web",0
"44",2018-11-04 01:00:00,8,"social phobia","GB","web",0
"45",2018-11-11 01:00:00,8,"social phobia","GB","web",0
